rank,id,gid,GID,role,evaluation_priority,priority_score,reason,why
20,100000008165763100,100000008165763100,100000008165763100,coordinator,0.2075,0.2075,"Rank #20 COORDINATOR: High betweenness (0.0003) bridging 32 counterparties across clusters. Volume: 2,433,673 KZT. (Part of cluster 12).","Rank #20 COORDINATOR: High betweenness (0.0003) bridging 32 counterparties across clusters. Volume: 2,433,673 KZT. (Part of cluster 12)."
21,100000004156082100,100000004156082100,100000004156082100,coordinator,0.1944,0.1944,"Rank #21 COORDINATOR: High betweenness (0.0020) bridging 31 counterparties across clusters. Volume: 2,696,922 KZT; return cycle detected. (Part of cluster 2).","Rank #21 COORDINATOR: High betweenness (0.0020) bridging 31 counterparties across clusters. Volume: 2,696,922 KZT; return cycle detected. (Part of cluster 2)."
22,100000002398779100,100000002398779100,100000002398779100,consolidator,0.1924,0.1924,"Rank #22 CONSOLIDATOR: Consolidates from 13 payers (1,095,690 KZT), forwards only 6% outward to 1 recipients. (Part of cluster 16).","Rank #22 CONSOLIDATOR: Consolidates from 13 payers (1,095,690 KZT), forwards only 6% outward to 1 recipients. (Part of cluster 16)."
23,100000004403675100,100000004403675100,100000004403675100,coordinator,0.1911,0.1911,"Rank #23 COORDINATOR: High betweenness (0.0028) bridging 9 counterparties across clusters. Volume: 447,679 KZT; return cycle detected. (Part of cluster 5).","Rank #23 COORDINATOR: High betweenness (0.0028) bridging 9 counterparties across clusters. Volume: 447,679 KZT; return cycle detected. (Part of cluster 5)."
24,100000005704413100,100000005704413100,100000005704413100,coordinator,0.1911,0.1911,"Rank #24 COORDINATOR: High betweenness (0.0026) bridging 35 counterparties across clusters. Volume: 1,461,428 KZT; return cycle detected. (Part of cluster 17).","Rank #24 COORDINATOR: High betweenness (0.0026) bridging 35 counterparties across clusters. Volume: 1,461,428 KZT; return cycle detected. (Part of cluster 17)."
25,100000004041163100,100000004041163100,100000004041163100,peripheral,0.1897,0.1897,"Rank #25 PERIPHERAL: Peripheral flow node with 3 active links (50,000 KZT in, 866,000 KZT out). (Part of cluster 2).","Rank #25 PERIPHERAL: Peripheral flow node with 3 active links (50,000 KZT in, 866,000 KZT out). (Part of cluster 2)."
26,100000004015047100,100000004015047100,100000004015047100,consolidator,0.1886,0.1886,"Rank #26 CONSOLIDATOR: Consolidates from 9 payers (919,104 KZT), forwards only 8% outward to 1 recipients. (Part of cluster 6).","Rank #26 CONSOLIDATOR: Consolidates from 9 payers (919,104 KZT), forwards only 8% outward to 1 recipients. (Part of cluster 6)."
27,100000008636603100,100000008636603100,100000008636603100,coordinator,0.1835,0.1835,"Rank #27 COORDINATOR: High betweenness (0.0035) bridging 8 counterparties across clusters. Volume: 194,835 KZT; return cycle detected. (Part of cluster 2).","Rank #27 COORDINATOR: High betweenness (0.0035) bridging 8 counterparties across clusters. Volume: 194,835 KZT; return cycle detected. (Part of cluster 2)."
28,100000000661912100,100000000661912100,100000000661912100,coordinator,0.1834,0.1834,"Rank #28 COORDINATOR: High betweenness (0.0013) bridging 7 counterparties across clusters. Volume: 823,736 KZT; return cycle detected. (Part of cluster 20).","Rank #28 COORDINATOR: High betweenness (0.0013) bridging 7 counterparties across clusters. Volume: 823,736 KZT; return cycle detected. (Part of cluster 20)."
29,100000001857829100,100000001857829100,100000001857829100,coordinator,0.178,0.178,"Rank #29 COORDINATOR: High betweenness (0.0020) bridging 22 counterparties across clusters. Volume: 3,279,528 KZT; return cycle detected. (Part of cluster 3).","Rank #29 COORDINATOR: High betweenness (0.0020) bridging 22 counterparties across clusters. Volume: 3,279,528 KZT; return cycle detected. (Part of cluster 3)."
30,100000008571433100,100000008571433100,100000008571433100,peripheral,0.1771,0.1771,"Rank #30 PERIPHERAL: Peripheral flow node with 4 active links (350,000 KZT in, 1,434,000 KZT out). (Part of cluster 57).","Rank #30 PERIPHERAL: Peripheral flow node with 4 active links (350,000 KZT in, 1,434,000 KZT out). (Part of cluster 57)."
31,100000005523088100,100000005523088100,100000005523088100,terminal,0.1712,0.1712,"Rank #31 TERMINAL: Genuine endpoint (depth 0): received 700,000 KZT from 1 payers with 0 outgoing transfers. (Part of cluster 2).","Rank #31 TERMINAL: Genuine endpoint (depth 0): received 700,000 KZT from 1 payers with 0 outgoing transfers. (Part of cluster 2)."
32,100000004019124100,100000004019124100,100000004019124100,terminal,0.1652,0.1652,"Rank #32 TERMINAL: Genuine endpoint (depth 0): received 193,000 KZT from 3 payers with 0 outgoing transfers. (Part of cluster 2).","Rank #32 TERMINAL: Genuine endpoint (depth 0): received 193,000 KZT from 3 payers with 0 outgoing transfers. (Part of cluster 2)."
33,100000002741024100,100000002741024100,100000002741024100,peripheral,0.164,0.164,"Rank #33 PERIPHERAL: Peripheral flow node with 11 active links (817,981 KZT in, 434,989 KZT out). (Part of cluster 16).","Rank #33 PERIPHERAL: Peripheral flow node with 11 active links (817,981 KZT in, 434,989 KZT out). (Part of cluster 16)."
34,100000008686313100,100000008686313100,100000008686313100,coordinator,0.1626,0.1626,"Rank #34 COORDINATOR: High betweenness (0.0020) bridging 13 counterparties across clusters. Volume: 2,246,516 KZT; return cycle detected. (Part of cluster 0).","Rank #34 COORDINATOR: High betweenness (0.0020) bridging 13 counterparties across clusters. Volume: 2,246,516 KZT; return cycle detected. (Part of cluster 0)."
35,100000007639767100,100000007639767100,100000007639767100,coordinator,0.1616,0.1616,"Rank #35 COORDINATOR: High betweenness (0.0025) bridging 14 counterparties across clusters. Volume: 913,157 KZT; return cycle detected. (Part of cluster 5).","Rank #35 COORDINATOR: High betweenness (0.0025) bridging 14 counterparties across clusters. Volume: 913,157 KZT; return cycle detected. (Part of cluster 5)."
36,100000001677929100,100000001677929100,100000001677929100,peripheral,0.1602,0.1602,"Rank #36 PERIPHERAL: Peripheral flow node with 5 active links (126,777 KZT in, 286,098 KZT out). (Part of cluster 6).","Rank #36 PERIPHERAL: Peripheral flow node with 5 active links (126,777 KZT in, 286,098 KZT out). (Part of cluster 6)."
37,100000008516839100,100000008516839100,100000008516839100,terminal,0.1593,0.1593,"Rank #37 TERMINAL: Genuine endpoint (depth 0): received 155,000 KZT from 3 payers with 0 outgoing transfers. (Part of cluster 5).","Rank #37 TERMINAL: Genuine endpoint (depth 0): received 155,000 KZT from 3 payers with 0 outgoing transfers. (Part of cluster 5)."
38,100000004221668100,100000004221668100,100000004221668100,peripheral,0.1589,0.1589,"Rank #38 PERIPHERAL: Peripheral flow node with 7 active links (1,128,300 KZT in, 731,440 KZT out). (Part of cluster 6).","Rank #38 PERIPHERAL: Peripheral flow node with 7 active links (1,128,300 KZT in, 731,440 KZT out). (Part of cluster 6)."
39,100000001732159100,100000001732159100,100000001732159100,peripheral,0.1563,0.1563,"Rank #39 PERIPHERAL: Peripheral flow node with 6 active links (2,378,100 KZT in, 1,505,966 KZT out). (Part of cluster 16).","Rank #39 PERIPHERAL: Peripheral flow node with 6 active links (2,378,100 KZT in, 1,505,966 KZT out). (Part of cluster 16)."
40,100000002578405100,100000002578405100,100000002578405100,coordinator,0.1562,0.1562,"Rank #40 COORDINATOR: High betweenness (0.0002) bridging 118 counterparties across clusters. Volume: 4,308,703 KZT; return cycle detected. (Part of cluster 29).","Rank #40 COORDINATOR: High betweenness (0.0002) bridging 118 counterparties across clusters. Volume: 4,308,703 KZT; return cycle detected. (Part of cluster 29)."
41,100000000706545100,100000000706545100,100000000706545100,peripheral,0.1554,0.1554,"Rank #41 PERIPHERAL: Peripheral flow node with 4 active links (1,070,300 KZT in, 75,800 KZT out). (Part of cluster 2).","Rank #41 PERIPHERAL: Peripheral flow node with 4 active links (1,070,300 KZT in, 75,800 KZT out). (Part of cluster 2)."
42,100000008418835100,100000008418835100,100000008418835100,coordinator,0.155,0.155,"Rank #42 COORDINATOR: High betweenness (0.0003) bridging 5 counterparties across clusters. Volume: 1,558,179 KZT. (Part of cluster 2).","Rank #42 COORDINATOR: High betweenness (0.0003) bridging 5 counterparties across clusters. Volume: 1,558,179 KZT. (Part of cluster 2)."
43,100000008637537100,100000008637537100,100000008637537100,peripheral,0.1544,0.1544,"Rank #43 PERIPHERAL: Peripheral flow node with 6 active links (619,890 KZT in, 2,351,495 KZT out). (Part of cluster 16).","Rank #43 PERIPHERAL: Peripheral flow node with 6 active links (619,890 KZT in, 2,351,495 KZT out). (Part of cluster 16)."
44,100000004603109100,100000004603109100,100000004603109100,peripheral,0.1534,0.1534,"Rank #44 PERIPHERAL: Peripheral flow node with 5 active links (2,730,000 KZT in, 400,000 KZT out). (Part of cluster 23).","Rank #44 PERIPHERAL: Peripheral flow node with 5 active links (2,730,000 KZT in, 400,000 KZT out). (Part of cluster 23)."
45,100000004351795100,100000004351795100,100000004351795100,coordinator,0.1529,0.1529,"Rank #45 COORDINATOR: High betweenness (0.0024) bridging 17 counterparties across clusters. Volume: 1,833,494 KZT; return cycle detected. (Part of cluster 22).","Rank #45 COORDINATOR: High betweenness (0.0024) bridging 17 counterparties across clusters. Volume: 1,833,494 KZT; return cycle detected. (Part of cluster 22)."
46,100000004070318100,100000004070318100,100000004070318100,coordinator,0.1515,0.1515,"Rank #46 COORDINATOR: High betweenness (0.0021) bridging 23 counterparties across clusters. Volume: 759,107 KZT; return cycle detected. (Part of cluster 16).","Rank #46 COORDINATOR: High betweenness (0.0021) bridging 23 counterparties across clusters. Volume: 759,107 KZT; return cycle detected. (Part of cluster 16)."
47,100000004569484100,100000004569484100,100000004569484100,coordinator,0.15,0.15,"Rank #47 COORDINATOR: High betweenness (0.0028) bridging 6 counterparties across clusters. Volume: 254,312 KZT; return cycle detected. (Part of cluster 17).","Rank #47 COORDINATOR: High betweenness (0.0028) bridging 6 counterparties across clusters. Volume: 254,312 KZT; return cycle detected. (Part of cluster 17)."
48,100000005668605100,100000005668605100,100000005668605100,terminal,0.1492,0.1492,"Rank #48 TERMINAL: Genuine endpoint (depth 0): received 94,500 KZT from 3 payers with 0 outgoing transfers. (Part of cluster 5).","Rank #48 TERMINAL: Genuine endpoint (depth 0): received 94,500 KZT from 3 payers with 0 outgoing transfers. (Part of cluster 5)."
49,100000003115284100,100000003115284100,100000003115284100,consolidator,0.147,0.147,"Rank #49 CONSOLIDATOR: Consolidates from 8 payers (2,160,500 KZT), forwards only 24% outward to 2 recipients. (Part of cluster 24).","Rank #49 CONSOLIDATOR: Consolidates from 8 payers (2,160,500 KZT), forwards only 24% outward to 2 recipients. (Part of cluster 24)."
50,100000004071080100,100000004071080100,100000004071080100,consolidator,0.144,0.144,"Rank #50 CONSOLIDATOR: Consolidates from 9 payers (238,600 KZT), forwards only 19% outward to 2 recipients; near-threshold structuring. (Part of cluster 0).","Rank #50 CONSOLIDATOR: Consolidates from 9 payers (238,600 KZT), forwards only 19% outward to 2 recipients; near-threshold structuring. (Part of cluster 0)."
